T1A01|Which of the following is a purpose of the Amateur Radio Service as stated in the FCC rules and regulations?|A||97.1|Advancing skills in the technical and communication phases of the radio art|Providing communications for international non-profit organizations|Providing personal radio communications for as many citizens as possible|All of these choices are correct
T1A02|Which agency regulates and enforces the rules for the Amateur Radio Service in the United States?|B||97.1|Homeland Security|The FCC|FEMA|All of these choices are correct
T1A03|What are the FCC rules regarding the use of a phonetic alphabet for station identification in the Amateur Radio Service?|C||97.119(b)(2)|It is required when transmitting emergency messages|It is required when in contact with foreign stations|It is encouraged|It is prohibited
T1A04|How many operator/primary station license grants may be held by any one person?|B||97.5(b)(1)|One for each permanent station location from which the person plans to operate|One|No more than two|One for each band on which the person plans to operate
T1A05|What is proof of possession of an FCC-issued operator/primary license grant?|B||97.7|A printed operator/primary station license issued by the FCC must be displayed at the transmitter site|The control operator's operator/primary station license must appear in the FCC ULS consolidated licensee database|The control operator must have an operator/primary station license in his or her possession when in control of a transmitter|All of these choices are correct
T1A06|What is the FCC Part 97 definition of a beacon?|A||97.3(a)(9)|An amateur station transmitting communications for the purposes of observing propagation or related experimental activities|A bulletin sent by the FCC to announce a national emergency|A continuous transmission of weather information authorized in the amateur bands by the National Weather Service|A government transmitter marking the amateur radio band edges
T1A07|What is the FCC Part 97 definition of a space station?|B||97.3(a)(41)|A manned satellite orbiting the earth|An amateur station located more than 50 km above the Earth's surface|An amateur station using amateur radio satellites for relay of signals|Any satellite orbiting the earth
T1A08|Which of the following entities recommends transmit/receive channels and other parameters for auxiliary and repeater stations?|D||97.3(a)(22)|FCC Regional Field Office|Frequency Spectrum Manager appointed by the FCC|International Telecommunications Union|Volunteer Frequency Coordinator recognized by local amateurs
T1A09|Who selects a Frequency Coordinator?|D||97.3(a)(22)|The local chapter of the Office of National Council of Independent Frequency Coordinators|FCC Regional Field Office|The FCC Office of Spectrum Management and Coordination Policy|Amateur operators in a local or regional area whose stations are eligible to be repeater or auxiliary stations
T1A10|Which of the following describes the Radio Amateur Civil Emergency Service (RACES)?|D||97.3(a)(38), 97.407|A radio service using amateur stations for emergency management or civil defense communications|An emergency service using amateur operators certified by a civil defense organization as being enrolled in that organization|A radio service using amateur frequencies for emergency management or civil defense communications|All of these choices are correct
T1A11|When is willful interference to other amateur radio stations permitted?|C||97.101 (d)|At any time, stations in the Amateur Radio Service are not protected from willful interference|When making short test transmissions|At no time|To stop another amateur station which is breaking the FCC rules
T1B01|What is the International Telecommunications Union (ITU)?|C|||An agency of the United States Department of Telecommunications Management|A department of the FCC|A United Nations agency for information and communication technology issues|An independent frequency coordination agency
T1B02|Which amateur radio stations may make contact with an amateur radio station on the International Space Station (ISS) using 2 meter and 70 cm band frequencies?|A||97.301, 97.207(c)|Any amateur holding a Technician or higher-class license|Only the astronaut's family members who are hams|Contacts with the ISS are not permitted on amateur radio frequencies|Only members of amateur radio clubs at NASA facilities
T1B03|Which frequency is within the 6 meter amateur band?|A||97.301(a)|52.525 MHz|28.50 MHz|222.15 MHz|49.00 MHz
T1B04|Which amateur band are you using when your station is transmitting on 146.52 MHz?|B||97.301(a)|14 meter band|2 meter band|20 meter band|6 meter band
T1B05|What is the limitation for emissions on the frequencies between 219 and 220 MHz?|C||97.305(c)|Emergency traffic only|Spread spectrum only|Fixed digital message forwarding systems only|Fast-scan television only
T1B06|On which HF bands does a Technician class operator have phone privileges?|A||97.301(e), 97.305|10 meter band only|None|30 meter band only|80 meter, 40 meter, 15 meter and 10 meter bands
T1B07|Which of the following VHF/UHF frequency ranges are limited to CW only?|B||97.305(a), (c)|902.0 MHz to 902.1 MHZ|50.0 MHz to 50.1 MHz and 144.0 MHz to 144.1 MHz|219 MHz to 220 MHz and 420.0 MHz to 420.1 MHz|All of these choices are correct
T1B08|Which of the following is a result of the fact that the Amateur Radio Service is secondary in all or portions of some amateur bands (such as portions of the 70 cm band)?|D||97.303|International communications are not permitted in those portions|U.S. amateurs must give foreign amateur stations priority in those portions|Digital transmissions are not permitted in those portions|U.S. amateurs may find non-amateur stations in those portions, and must avoid interfering with them
T1B09|Why should you not set your transmit frequency to be exactly at the edge of an amateur band or sub-band?|D||97.101(a), 97.301(a-e)|To allow for transmitter frequency drift|To allow for calibration error in the transmitter frequency display|So that modulation sidebands do not extend beyond the band edge|All of these choices are correct
T1B10|Which of the following HF bands have frequencies available to the Technician class operator for RTTY and data transmissions?|C||97.301(e), 97.305(c)|10 meter, 15 meter, 40 meter, and 80 meter bands|30 meter band only|10 meter band only|10 meter, 12 meter, 17 meter, and 40 meter bands
T1B11|What is the maximum peak envelope power output for Technician class operators using their assigned portions of the HF bands?|A||97.313|200 watts|10 watts|100 watts|50 watts
T1B12|Except for some specific restrictions, what is the maximum peak envelope power output for Technician class operators using frequencies above 30 MHz?|B||97.313(b)|50 watts|1500 watts|500 watts|100 watts
T1C01|For which license classes are new licenses currently available from the FCC?|B||97.9(a), 97.17(a)|Novice, Technician, General, Advanced|Technician, General, Amateur Extra|Technician, Technician Plus, General, Advanced|Novice, Technician Plus, General, Advanced
T1C02|Who may select a desired call sign under the vanity call sign rules?|C||97.19|Only a licensed amateur with an Amateur Extra class license|Only a licensed amateur who has been licensed continuously for more than 10 years|Any licensed amateur|Only a licensed amateur with a General or Amateur Extra class license
T1C03|What types of international communications is an FCC-licensed amateur radio station permitted to make?|B||97.117|Only communications incidental to contest exchanges, all other communications are prohibited|Communications incidental to the purposes of the Amateur Radio Service and remarks of a personal character|Any communications that would be permitted by an international broadcast station|Communications incidental to conducting business or remarks of a personal nature
T1C04|When are you allowed to operate your amateur station in a foreign country?|A||97.107|When the foreign country authorizes it|When there is a mutual agreement allowing third party communications|When authorization permits amateur communications in a foreign language|When you are communicating with non-licensed individuals in another country
T1C05|Which of the following is a valid call sign for a Technician class amateur radio station?|B|||KA1X|K1XXX|W1XX|All of these choices are correct
T1C06|From which of the following locations may an FCC-licensed amateur station transmit?|C||97.5(a)(2)|From anywhere within International Telecommunications Union (ITU) Regions 2 and 3|From within any country that is a member of the United Nations|From any vessel or craft located in international waters and documented or registered in the United States|From within any country that belongs to the International Telecommunications Union
T1C07|What may result when correspondence from the FCC is returned as undeliverable because the grantee failed to provide and maintain a correct mailing address with the FCC?|A||97.23|Revocation of the station license or suspension of the operator license|A reduction of one rank in operator class|Fine or imprisonment|Require the licensee to be re-examined
T1C08|What is the normal term for an FCC-issued primary station/operator amateur radio license grant?|B||97.25|Twenty years|Ten years|Five years|Life
T1C09|What is the grace period following the expiration of an amateur license within which the license may be renewed?|B||97.21(a)(b)|Ten years|Two years|Five years|Three years
T1C10|How soon after passing the examination for your first amateur radio license may you operate a transmitter on an Amateur Radio Service frequency?|B||97.5a|30 days after the test date|As soon as your operator/station license grant appears in the FCC’s license database|Immediately|You must wait until you receive your license in the mail from the FCC
T1C11|If your license has expired and is still within the allowable grace period, may you continue to operate a transmitter on Amateur Radio Service frequencies?|B||97.21(b)|Yes, but only if you identify using the suffix GP|No, transmitting is not allowed until the FCC license database shows that the license has been renewed|Yes, but only during authorized nets|Yes, for up to two years
T1D01|With which countries are FCC-licensed amateur radio stations prohibited from exchanging communications?|B||97.111(a)(1)|Any country whose administration has notified the American Radio Relay League (ARRL) that it objects to such communications|Any country whose administration has notified the International Telecommunications Union (ITU) that it objects to such communications|Any country in violation of the War Powers Act of 1934|Any country engaged in hostilities with another country
T1D02|Under which of the following circumstances may an amateur radio station make one-way transmissions?|C||97.113(b),97.111(b)|Under no circumstances|At any time, as long as the material being transmitted did not originate from a commercial broadcast station|When transmitting code practice, information bulletins, or transmissions necessary to provide emergency communications|At any time, as long as no music is transmitted
T1D03|When is it permissible to transmit messages encoded to hide their meaning?|A||97.211(b), 97.215(b), 97.114(a)(4)|Only when transmitting control commands to space stations or radio control craft|Only during contests|Only when operating mobile|Only when frequencies above 1280 MHz are used
T1D04|Under what conditions is an amateur station authorized to transmit music using a phone emission?|B||97.113(a)(4), 97.113(c)|When the music produces no spurious emissions|When incidental to an authorized retransmission of manned spacecraft communications|When the music is transmitted above 1280 MHz|When the purpose is to interfere with an illegal transmission
T1D05|When may amateur radio operators use their stations to notify other amateurs of the availability of equipment for sale or trade?|A||97.113(a)(3)(ii)|When the equipment is normally used in an amateur station and such activity is not conducted on a regular basis|When the asking price is less than its appraised value|When the asking price is $100.00 or less|When the equipment is not the personal property of either the station licensee or the control operator or their close relatives
T1D06|What, if any, are the restrictions concerning transmission of language that may be considered indecent or obscene?|A||97.113(a)(4)|Any such language is prohibited|The ITU maintains a list of words that are not permitted to be used on amateur frequencies|The FCC maintains a list of words that are not permitted to be used on amateur frequencies|There is no such prohibition
T1D07|What types of amateur stations can automatically retransmit the signals of other amateur stations?|B||97.113(d)|Beacon, repeater, or space stations|Repeater, auxiliary, or space stations|Auxiliary, beacon, or Earth stations|Earth, repeater, or space stations
T1D08|In which of the following circumstances may the control operator of an amateur station receive compensation for operating that station?|B||97.113(a)(3)(iii)|When the communication is related to the sale of amateur equipment by the control operator's employer|When the communication is incidental to classroom instruction at an educational institution|When the communication is made to obtain emergency information for a local broadcast station|All of these choices are correct
T1D09|Under which of the following circumstances are amateur stations authorized to transmit signals related to broadcasting, program production, or news gathering, assuming no other means is available?|C||97.113(5)(b)|Only when using amateur repeaters linked to the internet|Only when broadcasting communications to or from the space shuttle|Only where such communications directly relate to the immediate safety of human life or protection of property|Only where noncommercial programming is gathered and supplied exclusively to the National Public Radio network
T1D10|What is the meaning of the term broadcasting in the FCC rules for the Amateur Radio Service?|D||97.3(a)(10)|Two-way transmissions by amateur stations|Transmission of music|Transmission of messages directed only to amateur operators|Transmissions intended for reception by the general public
T1D11|When may an amateur station transmit without on-the-air identification?|B||97.119(a)|When the transmitted power level is below 1 watt|When transmitting signals to control model craft|When the transmissions are unmodulated|When the transmissions are of a brief nature to make station adjustments
T1E01|When is an amateur station permitted to transmit without a control operator?|C||97.7(a)|When using automatic control, such as in the case of a repeater|When the station licensee is away and another licensed amateur is using the station|Never|When the transmitting station is an auxiliary station
T1E02|Who may be the control operator of a station communicating through an amateur satellite or space station?|B||97.301, 97.207(c)|A General class or higher licensee who has a satellite operator certification|Any amateur whose license privileges allow them to transmit on the satellite uplink frequency|Only an Amateur Extra Class operator|Only an Amateur Extra Class operator who is also an AMSAT member
T1E03|Who must designate the station control operator?|C||97.103(b)|The frequency coordinator|The ITU|The station licensee|The FCC
T1E04|What determines the transmitting privileges of an amateur station?|A||97.103(b)|The class of operator license held by the control operator|The frequency authorized by the frequency coordinator|The frequencies printed on the license grant|The highest class of operator license held by anyone on the premises
T1E05|What is an amateur station control point?|C||97.3(a)(14)|The location of the station’s transmitting antenna|The mailing address of the station licensee|The location at which the control operator function is performed|The location of the station transmitting apparatus
T1E06|When, under normal circumstances, may a Technician class licensee be the control operator of a station operating in an exclusive Amateur Extra class operator segment of the amateur bands?|B||97.301|When operating a special event station|At no time|As part of a multi-operator contest team|When using a club station whose trustee is an Amateur Extra class operator licensee
T1E07|When the control operator is not the station licensee, who is responsible for the proper operation of the station?|C||97.103(a)|Only the station licensee|Only the control operator|The control operator and the station licensee are equally responsible|All licensed amateurs who are present at the operation
T1E08|Which of the following is an example of automatic control?|A||97.3(a)(6), 97.205(d)|Repeater operation|Controlling the station over the internet|Using a computer or other device to identify automatically|Using a computer or other device to send CW automatically
T1E09|Which of the following is true of remote control operation?|D||97.109(c)|The control operator must be at the control point|A control operator is required at all times|The control operator indirectly manipulates the controls|All of these choices are correct
T1E10|Which of the following is an example of remote control as defined in Part 97?|C||97.3(a)(39)|Repeater operation|Controlling a model aircraft, boat, or car by amateur radio|Operating the station over the internet|All of these choices are correct
T1E11|Who does the FCC presume to be the control operator of an amateur station, unless documentation to the contrary is in the station records?|C||97.103(a)|The third-party participant|The person operating the station equipment|The station licensee|The station custodian
T1F01|When must the station licensee make the station and its records available for FCC inspection?|B||97.103(c)|Only after failing to comply with an FCC notice of violation|At any time upon request by an FCC representative|Only when presented with a valid warrant by an FCC official or government agent|At any time ten days after notification by the FCC of such an inspection
T1F02|When using tactical identifiers such as “Race Headquarters” during a community service net operation, how often must your station transmit the station’s FCC-assigned call sign?|B||97.119 (a)|Never, the tactical call is sufficient|At the end of each communication and every ten minutes during a communication|Once during every hour|At the end of every transmission
T1F03|When is an amateur station required to transmit its assigned call sign?|B||97.119(a)|At the beginning of each contact, and every 10 minutes thereafter|At least every 10 minutes during and at the end of a communication|At least once during each transmission|At least every 15 minutes during and at the end of a communication
T1F04|Which of the following is an acceptable language to use for station identification when operating in a phone sub-band?|B||97.119(b)(2)|Any language recognized by the United Nations|The English language|Any language recognized by the ITU|English, French, or Spanish
T1F05|What method of call sign identification is required for a station transmitting phone signals?|B||97.119(b)(2)|Send the call sign followed by the indicator R|Send the call sign using a CW or phone emission|Send the call sign using only a phone emission|Send the call sign followed by the indicator RPT
T1F06|Which of the following formats of a self-assigned indicator is acceptable when identifying using a phone transmission?|D||97.119(c)|KL7CC slash W3|KL7CC slant W3|KL7CC stroke W3|All of these choices are correct
T1F07|Which of the following restrictions apply when a non-licensed person is allowed to speak to a foreign station using a station under the control of a Technician class control operator?|B||97.115(a)(2)|The person must be a U.S. citizen|The foreign station must be one with which the U.S. has a third-party agreement|The licensed control operator must do the station identification|All of these choices are correct
T1F08|What is meant by the term Third Party Communications?|A||97.3(a)(47)|A message from a control operator to another amateur station control operator on behalf of another person|Temporary authorization for an unlicensed person to transmit on the amateur bands for technical experiments|Operation when the transmitting equipment is licensed to a person other than the control operator|Amateur radio communications where three stations are in communications with one another
T1F09|What type of amateur station simultaneously retransmits the signal of another amateur station on a different channel or channels?|B||97.3(a)(40)|Earth station|Repeater station|Beacon station|Message forwarding station
T1F10|Who is accountable should a repeater inadvertently retransmit communications that violate the FCC rules?|C||97.205(g)|The control operator of the repeater|Both the originating station and the repeater owner|The control operator of the originating station|The owner of the repeater
T1F11|Which of the following is a requirement for the issuance of a club station license grant?|C||97.5(b)(2)|The trustee must have an Amateur Extra class operator license grant|The club must be registered with the American Radio Relay League|The club must have at least four members|All of these choices are correct
T2A01|Which of the following is a common repeater frequency offset in the 2 meter band?|C|||Plus or minus 5 MHz|Plus or minus 1 MHz|Plus or minus 600 kHz|Plus or minus 500 kHz
T2A02|What is the national calling frequency for FM simplex operations in the 2 meter band?|D|||145.000 MHz|446.000 MHz|432.100 MHz|146.520 MHz
T2A03|What is a common repeater frequency offset in the 70 cm band?|D|||Plus or minus 500 kHz|Plus or minus 1 MHz|Plus or minus 600 kHz|Plus or minus 5 MHz
T2A04|What is an appropriate way to call another station on a repeater if you know the other station's call sign?|D|||Wait for the station to call CQ, then answer it|Say "CQ" three times, then the other station's call sign|Say "break, break," then say the station's call sign|Say the station's call sign, then identify with your call sign
T2A05|How should you respond to a station calling CQ?|B|||Transmit "CQ" followed by the other station’s call sign|Transmit the other station’s call sign followed by your call sign|Transmit a signal report followed by your call sign|Transmit your call sign followed by the other station’s call sign
T2A06|Which of the following is required when making on-the-air test transmissions?|C|||Conduct tests only between 10 p.m. and 6 a.m. local time|Notify the FCC of the transmissions|Identify the transmitting station|All of these choices are correct
T2A07|What is meant by "repeater offset?"|C|||The repeater has a time delay to prevent interference|The number of simultaneous transmit frequencies used by a repeater|The difference between a repeater’s transmit frequency and its receive frequency|The repeater station identification is done on a separate frequency
T2A08|What is the meaning of the procedural signal “CQ”?|B|||Call on the quarter hour|Calling any station|Only the called station should transmit|A new antenna is being tested (no station should answer)
T2A09|What brief statement indicates that you are listening on a repeater and looking for a contact?|D|||The letters “QSY” followed by your call sign|The words “Hello test” followed by your call sign|The repeater call sign followed by your call sign|Your call sign
T2A10|What is a band plan, beyond the privileges established by the FCC?|A|||A voluntary guideline for using different modes or activities within an amateur band|A mandated list of operating schedules|A plan devised by a club to indicate frequency band usage|A list of scheduled net frequencies
T2A11|What term describes an amateur station that is transmitting and receiving on the same frequency?|B|||Multiplex|Simplex|Diplex|Full duplex
T2A12|Which of the following is a guideline when choosing an operating frequency for calling CQ?|D|||Make sure you are in your assigned band|Ask if the frequency is in use|Listen first to be sure that no one else is using the frequency|All of these choices are correct
T2B01|What is the most common use of the “reverse split” function of a VHF/UHF transceiver?|B|||Listen on a repeater’s output frequency|Listen on a repeater’s input frequency|Increase power output|Reduce power output
T2B02|What term describes the use of a sub-audible tone transmitted along with normal voice audio to open the squelch of a receiver?|C|||Tone burst|Carrier squelch|CTCSS|DTMF
T2B03|If a station is not strong enough to keep a repeater’s receiver squelch open, which of the following might allow you to receive the station’s signal?|A|||Listen on the repeater input frequency|Listen on the repeater output frequency|Open the squelch on your radio|Increase your transmit power
T2B04||D|||The repeater may require a proper DCS tone from your transceiver|The repeater may require a proper CTCSS tone from your transceiver|Improper transceiver offset|All of these choices are correct
T2B05|What might be the problem if a repeater user says your transmissions are breaking up on voice peaks?|C|||Your transmit power is too high|You need to talk louder|You are talking too loudly|You have the incorrect offset
T2B06|What type of tones are used to control repeaters linked by the Internet Relay Linking Project (IRLP) protocol?|B|||EchoLink|DTMF|Sub-audible|CTCSS
T2B07|How can you join a digital repeater’s “talk group”?|A|||Program your radio with the group’s ID or code|Join the repeater owner’s club|Register your radio with the local FCC office|Sign your call after the courtesy tone
T2B08|Which of the following applies when two stations transmitting on the same frequency interfere with each other?|A|||Common courtesy should prevail, but no one has absolute right to an amateur frequency|Whoever has the strongest signal has priority on the frequency|The station that has the weakest signal has priority on the frequency|Whoever has been on the frequency the longest has priority on the frequency
T2B09|What is a “talk group” on a DMR digital repeater?|B|||A protocol that increases the signal-to-noise ratio when multiple repeaters are linked together|A way for groups of users to share a channel at different times without being heard by other users on the channel|A group of operators sharing common interests|A net that meets at a particular time
T2B10|Which Q signal indicates that you are receiving interference from other stations?|D|||QRN|QTH|QSB|QRM
T2B11|Which Q signal indicates that you are changing frequency?|A|||QSY|QSL|QRU|QRZ
T2B12|Why are simplex channels designated in the VHF/UHF band plans?|B|||For working DX only|So that stations within mutual communications range can communicate without tying up a repeater|For contest operation|So that stations with simple transmitters can access the repeater without automated offset
T2B13|Where may SSB phone be used in amateur bands above 50 MHz?|A|||In at least some portion of all these bands|Only on repeaters|On any band as long as power is limited to 25 watts|Only in sub-bands allocated to General class or higher licensees
T2B14|Which of the following describes a linked repeater network?|D|||Multiple repeaters with the same owner|A system of repeaters linked by APRS|A repeater with more than one receiver|A network of repeaters where signals received by one repeater are repeated by all the repeaters
T2C01|When do the FCC rules NOT apply to the operation of an amateur station?|A||97.103(a)|Never, FCC rules always apply|When operating a RACES station|When operating under special FEMA rules|When operating under special ARES rules
T2C02|What is meant by the term "NCS" used in net operation?|C|||Normal Communications Syntax|Nominal Control System|Net Control Station|National Communications Standard
T2C03|What should be done when using voice modes to ensure that voice messages containing unusual words are received correctly?|B|||Speak very loudly into the microphone|Spell the words using a standard phonetic alphabet|Send the words by voice and Morse code|All of these choices are correct
T2C04|What do RACES and ARES have in common?|C|||Neither may handle emergency traffic supporting public service agencies|They represent the two largest ham clubs in the United States|Both organizations may provide communications during emergencies|Both organizations broadcast road and weather information
T2C05|What does the term “traffic” refer to in net operation?|B|||Operation by mobile or portable stations|Formal messages exchanged by net stations|The number of stations checking in and out of a net|Requests to activate the net by a served agency
T2C06|Which of the following is an accepted practice to get the immediate attention of a net control station when reporting an emergency?|B|||Play a pre-recorded emergency alert tone followed by your call sign|Begin your transmission by saying "Priority" or "Emergency" followed by your call sign|Press the push-to-talk button three times|Repeat "SOS" three times followed by the call sign of the reporting station
T2C07|Which of the following is an accepted practice for an amateur operator who has checked into a net?|C|||Provided that the frequency is quiet, announce the station call sign and location every 5 minutes|Move 5 kHz away from the net's frequency and use high power to ask other hams to keep clear of the net frequency|Remain on frequency without transmitting until asked to do so by the net control station|All of these choices are correct
T2C08|Which of the following is a characteristic of good traffic handling?|A|||Passing messages exactly as received|Making decisions as to whether messages are worthy of relay or delivery|Ensuring that any newsworthy messages are relayed to the news media|All of these choices are correct
T2C09|Are amateur station control operators ever permitted to operate outside the frequency privileges of their license class?|B|||Yes, but only when part of a RACES emergency plan|Yes, but only if necessary in situations involving the immediate safety of human life or protection of property|No|Yes, but only when part of a FEMA emergency plan
T2C10|What information is contained in the preamble of a formal traffic message?|A|||The information needed to track the message|The telephone number of the addressee|The address of the intended recipient|The email address of the originating station
T2C11|What is meant by the term “check,” in reference to a formal traffic message?|A|||The number of words or word equivalents in the text portion of the message|The value of a money order attached to the message|A box on the message form that indicates that the message was received and/or relayed|A list of stations that have relayed the message
T2C12|What is the Amateur Radio Emergency Service (ARES)?|A|||Licensed amateurs who have voluntarily registered their qualifications and equipment for communications duty in the public service|A training program that provides licensing courses for those interested in obtaining an amateur license to use during emergencies|Licensed amateurs who are members of the military and who voluntarily agreed to provide message handling services in the case of an emergency|A training program that certifies amateur operators for membership in the Radio Amateur Civil Emergency Service
T3A01|What should you do if another operator reports that your station’s 2 meter signals were strong just a moment ago, but now they are weak or distorted?|C|||Turn on the CTCSS tone|Ask the other operator to adjust his squelch control|Try moving a few feet or changing the direction of your antenna if possible, as reflections may be causing multi-path distortion|Change the batteries in your radio to a different type
T3A02|Why might the range of VHF and UHF signals be greater in the winter?|C|||Less solar activity|Less ionospheric absorption|Less absorption by vegetation|Less tropospheric absorption
T3A03|What antenna polarization is normally used for long-distance weak-signal CW and SSB contacts using the VHF and UHF bands?|C|||Right-hand circular|Left-hand circular|Horizontal|Vertical
T3A04|What can happen if the antennas at opposite ends of a VHF or UHF line of sight radio link are not using the same polarization?|A|||Signals could be significantly weaker|The modulation sidebands might become inverted|Nothing significant will happen|Signals have an echo effect on voices
T3A05|When using a directional antenna, how might your station be able to access a distant repeater if buildings or obstructions are blocking the direct line of sight path?|A|||Try to find a path that reflects signals to the repeater|Change from vertical to horizontal polarization|Increase the antenna SWR|Try the long path
T3A06|What term is commonly used to describe the rapid fluttering sound sometimes heard from mobile stations that are moving while transmitting?|A|||Picket fencing|Pulsing|Flip-flopping|Frequency shifting
